file_name,gps_latitude_d,gps_latitude_m,gps_latitude_s,gps_longitude_d,gps_longitude_m,gps_longitude_s,gps_altitude,datetime
6BEDCB9C-F785-40F0-B015-D22979F69BAE_1_105_c.jpeg,46.0,47.0,21.41,121.0,43.0,12.67,1750.199951171875,2020:08:23 13:13:56
1BFB41C5-D64D-49BD-8EFB-17D3F88ED9B0_1_105_c.jpeg,46.0,46.0,53.44,121.0,43.0,13.46,1669.5999755859375,2020:08:23 12:14:53
6F52B7CC-F069-4088-9D7A-F30CBDD1C452_1_105_c.jpeg,46.0,46.0,52.6,121.0,43.0,13.25,1675.8405405405406,2020:08:30 11:28:31
69D830CE-0499-41B2-B049-0A06013BFC1D_1_105_c.jpeg,46.0,46.0,28.95,121.0,43.0,10.44,1613.699951052374,2020:08:23 11:00:09
1F65A992-D0CC-4987-8FB5-6C59AA80C634_1_105_c.jpeg,46.0,47.0,25.01,121.0,43.0,13.24,1743.5936305732484,2020:08:27 12:44:53
EF38F7FC-6B2C-4C0B-A9F4-DD22A1BAEDD7_1_105_c.jpeg,46.0,46.0,56.21,121.0,43.0,11.02,1684.800048828125,2020:08:23 12:28:42
D4F2B609-A2FA-496D-995F-2A59D4B88E55_1_105_c.jpeg,46.0,46.0,55.96,121.0,43.0,10.91,1684.5,2020:08:23 12:28:27
901F8FCD-61CB-4282-B46B-687CB612A1F4_1_105_c.jpeg,46.0,47.0,6.93,121.0,43.0,12.0,1726.9,2020:08:23 12:57:55
A5BFB8A9-0E99-4BF4-A9C3-57530CC91574_1_105_c.jpeg,46.0,46.0,28.87,121.0,43.0,10.13,1616.300048947626,2020:08:23 10:57:39
506C004C-FAEF-4890-B05D-B555A914F689_1_105_c.jpeg,46.0,46.0,30.65,121.0,43.0,10.77,1609.9000244439012,2020:08:23 11:02:27
1A4E9EB8-BF30-463E-95B9-868D50E9976C_1_105_c.jpeg,46.0,46.0,53.49,121.0,43.0,13.54,1676.199951171875,2020:08:23 12:16:34
87C8DC7A-C3D5-42EE-8930-CE8D0E87B545_1_105_c.jpeg,46.0,47.0,6.66,121.0,43.0,11.78,1722.199951171875,2020:08:23 12:58:27
FF8A2CC9-92BD-40D3-A2AC-ED67CBB6469B_1_105_c.jpeg,46.0,47.0,43.75,121.0,42.0,47.18,1862.9783950617284,2020:08:27 12:25:46
6B5F69EC-3BFE-4576-8022-2D965309FC1F_1_105_c.jpeg,46.0,47.0,39.8,121.0,42.0,57.14,1838.5719008264464,2020:08:27 11:38:50
A6A28EBC-A8ED-4E87-AF92-160F87DE6C11_1_105_c.jpeg,46.0,47.0,33.38,121.0,43.0,0.71,1811.8507078507077,2020:08:27 12:33:29
7D6C2CDF-3879-48F3-83B5-D15F829165D5_1_105_c.jpeg,46.0,47.0,22.89,121.0,43.0,11.54,1752.699951052374,2020:08:23 13:16:08
4BDDF544-950A-4D97-B85F-EFAB2C0F0029_1_105_c.jpeg,46.0,46.0,14.6,121.0,43.0,28.18,1485.8662790697674,2020:08:30 12:39:58
59539BB6-2B53-43AE-AD7E-065CDCD3D2E6_1_105_c.jpeg,46.0,46.0,30.2,121.0,43.0,10.66,1612.5,2020:08:23 11:00:42
2D0B8D1F-B587-4C07-B4A5-41248B8D4322_1_105_c.jpeg,46.0,47.0,21.31,121.0,43.0,12.64,1748.0,2020:08:23 13:13:34
D2B79ABB-9072-4625-90E6-FF8D8BDAF1D9_1_105_c.jpeg,46.0,46.0,53.26,121.0,43.0,13.43,1675.8,2020:08:23 12:21:20
8D0E9B1D-2C9A-4946-ACB6-21FCB12E188A_1_105_c.jpeg,46.0,46.0,35.68,121.0,43.0,9.94,1598.9000244439012,2020:08:23 11:27:28
589860C9-CF41-4053-8F12-92D8B66A6D75_1_105_c.jpeg,46.0,47.0,50.42,121.0,42.0,39.35,1886.1973875181422,2020:08:27 11:58:37
569B5208-6D00-4F7A-B037-8170D45F9310_1_105_c.jpeg,46.0,47.0,24.91,121.0,43.0,1.93,1787.0397946084724,2020:08:27 10:51:51
23E6001B-D2C2-4EEA-B621-D22D2BC6B4B5_1_105_c.jpeg,46.0,47.0,25.14,121.0,43.0,36.13,1602.2736273627363,2020:08:30 09:50:32
165B9F3A-9A95-4A3C-A6B8-67AEA73ACFA9_1_105_c.jpeg,46.0,46.0,30.75,121.0,43.0,10.88,1610.0999755560988,2020:08:23 11:03:35
9765B9DE-F34F-4609-BABF-AA5F6E103209_1_105_c.jpeg,46.0,47.0,28.18,121.0,43.0,5.93,1774.300048947626,2020:08:23 13:49:40
11D166EA-CE9C-42CA-AB9D-A4A28409A2C7_1_105_c.jpeg,46.0,47.0,26.87,121.0,43.0,3.85,1786.6644295302012,2020:08:30 10:52:07
E688C780-67C9-497F-86F0-27DC9A73E5B4_1_105_c.jpeg,46.0,46.0,34.36,121.0,43.0,12.67,1617.4000244140625,2020:08:23 11:40:10
AD5E0A67-A578-4615-9C3F-049409519168_1_105_c.jpeg,46.0,47.0,1.39,121.0,43.0,12.06,1706.8,2020:08:23 12:47:59
